subset,period_split,group_type,group_field,group_value,variant,window,sample_count,available_count,mean_return_pct,median_return_pct,std_pct,monthly_t,sharpe_monthly,win_rate_pct
all,all,rule6_status,rule6_50etf_iv_status,pending_data,t1_net,5,360,349,0.579444816671693,0.4293909626719207,8.035756329336225,0.20546261517598077,0.04193988069991436,52.14899713467048
all,all,rule6_status,rule6_50etf_iv_status,pending_data,t1_net,10,360,349,0.7195282963812835,0.47076176613294785,9.694366671204886,0.3247273629666968,0.06628469539899616,52.43553008595988
all,all,rule6_status,rule6_50etf_iv_status,pending_data,t1_net,20,360,349,1.9669428625730874,-0.46769230769229775,12.71537747779578,1.0825026676112524,0.22096493173743256,48.71060171919771
all,all,rule6_status,rule6_any_status,pending_llm,t1_net,5,359,348,0.5603434617619455,0.39785337607281435,8.039388440508846,0.20115400476898124,0.04106038928344817,52.01149425287356
all,all,rule6_status,rule6_any_status,triggered,t1_net,5,1,1,7.22671632526382,7.22671632526382,,,,100.0
all,all,rule6_status,rule6_any_status,pending_llm,t1_net,10,359,348,0.7140289636427658,0.46067260626864626,9.707780278341335,0.332430703846042,0.06785713327142269,52.29885057471264
all,all,rule6_status,rule6_any_status,triggered,t1_net,10,1,1,2.6332960893854773,2.6332960893854773,,,,100.0
all,all,rule6_status,rule6_any_status,pending_llm,t1_net,20,359,348,1.978762652079864,-0.42866787000897066,12.731765980194412,1.0957946392468456,0.22367814408599512,48.85057471264368
all,all,rule6_status,rule6_any_status,triggered,t1_net,20,1,1,-2.1463438857852246,-2.1463438857852246,,,,0.0
all,all,rule6_status,rule6_ar_growth_gt_revenue_growth_status,pending_data,t1_net,5,360,349,0.579444816671693,0.4293909626719207,8.035756329336225,0.20546261517598077,0.04193988069991436,52.14899713467048
all,all,rule6_status,rule6_ar_growth_gt_revenue_growth_status,pending_data,t1_net,10,360,349,0.7195282963812835,0.47076176613294785,9.694366671204886,0.3247273629666968,0.06628469539899616,52.43553008595988
all,all,rule6_status,rule6_ar_growth_gt_revenue_growth_status,pending_data,t1_net,20,360,349,1.9669428625730874,-0.46769230769229775,12.71537747779578,1.0825026676112524,0.22096493173743256,48.71060171919771
all,all,rule6_status,rule6_block_trade_discount_status,pending_data,t1_net,5,360,349,0.579444816671693,0.4293909626719207,8.035756329336225,0.20546261517598077,0.04193988069991436,52.14899713467048
all,all,rule6_status,rule6_block_trade_discount_status,pending_data,t1_net,10,360,349,0.7195282963812835,0.47076176613294785,9.694366671204886,0.3247273629666968,0.06628469539899616,52.43553008595988
all,all,rule6_status,rule6_block_trade_discount_status,pending_data,t1_net,20,360,349,1.9669428625730874,-0.46769230769229775,12.71537747779578,1.0825026676112524,0.22096493173743256,48.71060171919771
all,all,rule6_status,rule6_cash_debt_double_high_status,pending_data,t1_net,5,360,349,0.579444816671693,0.4293909626719207,8.035756329336225,0.20546261517598077,0.04193988069991436,52.14899713467048
all,all,rule6_status,rule6_cash_debt_double_high_status,pending_data,t1_net,10,360,349,0.7195282963812835,0.47076176613294785,9.694366671204886,0.3247273629666968,0.06628469539899616,52.43553008595988
all,all,rule6_status,rule6_cash_debt_double_high_status,pending_data,t1_net,20,360,349,1.9669428625730874,-0.46769230769229775,12.71537747779578,1.0825026676112524,0.22096493173743256,48.71060171919771
all,all,rule6_status,rule6_crash_veto_status,pass,t1_net,5,360,349,0.579444816671693,0.4293909626719207,8.035756329336225,0.20546261517598077,0.04193988069991436,52.14899713467048
all,all,rule6_status,rule6_crash_veto_status,pass,t1_net,10,360,349,0.7195282963812835,0.47076176613294785,9.694366671204886,0.3247273629666968,0.06628469539899616,52.43553008595988
all,all,rule6_status,rule6_crash_veto_status,pass,t1_net,20,360,349,1.9669428625730874,-0.46769230769229775,12.71537747779578,1.0825026676112524,0.22096493173743256,48.71060171919771
all,all,rule6_status,rule6_good_data_bad_reaction_status,pending_data,t1_net,5,360,349,0.579444816671693,0.4293909626719207,8.035756329336225,0.20546261517598077,0.04193988069991436,52.14899713467048
all,all,rule6_status,rule6_good_data_bad_reaction_status,pending_data,t1_net,10,360,349,0.7195282963812835,0.47076176613294785,9.694366671204886,0.3247273629666968,0.06628469539899616,52.43553008595988
all,all,rule6_status,rule6_good_data_bad_reaction_status,pending_data,t1_net,20,360,349,1.9669428625730874,-0.46769230769229775,12.71537747779578,1.0825026676112524,0.22096493173743256,48.71060171919771
all,all,rule6_status,rule6_holder_below_5pct_status,pending_data,t1_net,5,360,349,0.579444816671693,0.4293909626719207,8.035756329336225,0.20546261517598077,0.04193988069991436,52.14899713467048
all,all,rule6_status,rule6_holder_below_5pct_status,pending_data,t1_net,10,360,349,0.7195282963812835,0.47076176613294785,9.694366671204886,0.3247273629666968,0.06628469539899616,52.43553008595988
all,all,rule6_status,rule6_holder_below_5pct_status,pending_data,t1_net,20,360,349,1.9669428625730874,-0.46769230769229775,12.71537747779578,1.0825026676112524,0.22096493173743256,48.71060171919771
all,all,rule6_status,rule6_holder_reduction_status,fail,t1_net,5,1,1,7.22671632526382,7.22671632526382,,,,100.0
all,all,rule6_status,rule6_holder_reduction_status,pass,t1_net,5,359,348,0.5603434617619455,0.39785337607281435,8.039388440508846,0.20115400476898124,0.04106038928344817,52.01149425287356
all,all,rule6_status,rule6_holder_reduction_status,fail,t1_net,10,1,1,2.6332960893854773,2.6332960893854773,,,,100.0
all,all,rule6_status,rule6_holder_reduction_status,pass,t1_net,10,359,348,0.7140289636427658,0.46067260626864626,9.707780278341335,0.332430703846042,0.06785713327142269,52.29885057471264
all,all,rule6_status,rule6_holder_reduction_status,fail,t1_net,20,1,1,-2.1463438857852246,-2.1463438857852246,,,,0.0
all,all,rule6_status,rule6_holder_reduction_status,pass,t1_net,20,359,348,1.978762652079864,-0.42866787000897066,12.731765980194412,1.0957946392468456,0.22367814408599512,48.85057471264368
all,all,rule6_status,rule6_margin_extreme_accumulation_status,pending_data,t1_net,5,360,349,0.579444816671693,0.4293909626719207,8.035756329336225,0.20546261517598077,0.04193988069991436,52.14899713467048
all,all,rule6_status,rule6_margin_extreme_accumulation_status,pending_data,t1_net,10,360,349,0.7195282963812835,0.47076176613294785,9.694366671204886,0.3247273629666968,0.06628469539899616,52.43553008595988
all,all,rule6_status,rule6_margin_extreme_accumulation_status,pending_data,t1_net,20,360,349,1.9669428625730874,-0.46769230769229775,12.71537747779578,1.0825026676112524,0.22096493173743256,48.71060171919771
all,all,rule6_status,rule6_northbound_selloff_status,pending_data,t1_net,5,360,349,0.579444816671693,0.4293909626719207,8.035756329336225,0.20546261517598077,0.04193988069991436,52.14899713467048
all,all,rule6_status,rule6_northbound_selloff_status,pending_data,t1_net,10,360,349,0.7195282963812835,0.47076176613294785,9.694366671204886,0.3247273629666968,0.06628469539899616,52.43553008595988
all,all,rule6_status,rule6_northbound_selloff_status,pending_data,t1_net,20,360,349,1.9669428625730874,-0.46769230769229775,12.71537747779578,1.0825026676112524,0.22096493173743256,48.71060171919771
all,all,rule6_status,rule6_regulatory_48h_status,pending_llm,t1_net,5,360,349,0.579444816671693,0.4293909626719207,8.035756329336225,0.20546261517598077,0.04193988069991436,52.14899713467048
all,all,rule6_status,rule6_regulatory_48h_status,pending_llm,t1_net,10,360,349,0.7195282963812835,0.47076176613294785,9.694366671204886,0.3247273629666968,0.06628469539899616,52.43553008595988
all,all,rule6_status,rule6_regulatory_48h_status,pending_llm,t1_net,20,360,349,1.9669428625730874,-0.46769230769229775,12.71537747779578,1.0825026676112524,0.22096493173743256,48.71060171919771
all,all,rule6_status,rule6_short_selling_surge_status,pending_data,t1_net,5,360,349,0.579444816671693,0.4293909626719207,8.035756329336225,0.20546261517598077,0.04193988069991436,52.14899713467048
all,all,rule6_status,rule6_short_selling_surge_status,pending_data,t1_net,10,360,349,0.7195282963812835,0.47076176613294785,9.694366671204886,0.3247273629666968,0.06628469539899616,52.43553008595988
all,all,rule6_status,rule6_short_selling_surge_status,pending_data,t1_net,20,360,349,1.9669428625730874,-0.46769230769229775,12.71537747779578,1.0825026676112524,0.22096493173743256,48.71060171919771
all,all,rule6_status,rule6_volume_stall_status,pending_data,t1_net,5,360,349,0.579444816671693,0.4293909626719207,8.035756329336225,0.20546261517598077,0.04193988069991436,52.14899713467048
all,all,rule6_status,rule6_volume_stall_status,pending_data,t1_net,10,360,349,0.7195282963812835,0.47076176613294785,9.694366671204886,0.3247273629666968,0.06628469539899616,52.43553008595988
all,all,rule6_status,rule6_volume_stall_status,pending_data,t1_net,20,360,349,1.9669428625730874,-0.46769230769229775,12.71537747779578,1.0825026676112524,0.22096493173743256,48.71060171919771
all,discovery,rule6_status,rule6_50etf_iv_status,pending_data,t1_net,5,180,169,-0.4674246196823449,-0.5599000249937379,7.568940097913729,-0.7297864042144657,-0.21067118846207544,46.15384615384615
all,discovery,rule6_status,rule6_50etf_iv_status,pending_data,t1_net,10,180,169,-0.6262722424192331,-0.732022880915235,9.92068551971732,-0.6824386258906356,-0.1970030621816784,47.337278106508876
all,discovery,rule6_status,rule6_50etf_iv_status,pending_data,t1_net,20,180,169,0.8493090823299758,-1.7600000000000013,13.020728231879765,0.09041786658511168,0.02610138980623295,42.01183431952663
all,discovery,rule6_status,rule6_any_status,pending_llm,t1_net,5,180,169,-0.4674246196823449,-0.5599000249937379,7.568940097913729,-0.7297864042144657,-0.21067118846207544,46.15384615384615
all,discovery,rule6_status,rule6_any_status,pending_llm,t1_net,10,180,169,-0.6262722424192331,-0.732022880915235,9.92068551971732,-0.6824386258906356,-0.1970030621816784,47.337278106508876
all,discovery,rule6_status,rule6_any_status,pending_llm,t1_net,20,180,169,0.8493090823299758,-1.7600000000000013,13.020728231879765,0.09041786658511168,0.02610138980623295,42.01183431952663
all,discovery,rule6_status,rule6_ar_growth_gt_revenue_growth_status,pending_data,t1_net,5,180,169,-0.4674246196823449,-0.5599000249937379,7.568940097913729,-0.7297864042144657,-0.21067118846207544,46.15384615384615
all,discovery,rule6_status,rule6_ar_growth_gt_revenue_growth_status,pending_data,t1_net,10,180,169,-0.6262722424192331,-0.732022880915235,9.92068551971732,-0.6824386258906356,-0.1970030621816784,47.337278106508876
all,discovery,rule6_status,rule6_ar_growth_gt_revenue_growth_status,pending_data,t1_net,20,180,169,0.8493090823299758,-1.7600000000000013,13.020728231879765,0.09041786658511168,0.02610138980623295,42.01183431952663
all,discovery,rule6_status,rule6_block_trade_discount_status,pending_data,t1_net,5,180,169,-0.4674246196823449,-0.5599000249937379,7.568940097913729,-0.7297864042144657,-0.21067118846207544,46.15384615384615
all,discovery,rule6_status,rule6_block_trade_discount_status,pending_data,t1_net,10,180,169,-0.6262722424192331,-0.732022880915235,9.92068551971732,-0.6824386258906356,-0.1970030621816784,47.337278106508876
all,discovery,rule6_status,rule6_block_trade_discount_status,pending_data,t1_net,20,180,169,0.8493090823299758,-1.7600000000000013,13.020728231879765,0.09041786658511168,0.02610138980623295,42.01183431952663
all,discovery,rule6_status,rule6_cash_debt_double_high_status,pending_data,t1_net,5,180,169,-0.4674246196823449,-0.5599000249937379,7.568940097913729,-0.7297864042144657,-0.21067118846207544,46.15384615384615
all,discovery,rule6_status,rule6_cash_debt_double_high_status,pending_data,t1_net,10,180,169,-0.6262722424192331,-0.732022880915235,9.92068551971732,-0.6824386258906356,-0.1970030621816784,47.337278106508876
all,discovery,rule6_status,rule6_cash_debt_double_high_status,pending_data,t1_net,20,180,169,0.8493090823299758,-1.7600000000000013,13.020728231879765,0.09041786658511168,0.02610138980623295,42.01183431952663
all,discovery,rule6_status,rule6_crash_veto_status,pass,t1_net,5,180,169,-0.4674246196823449,-0.5599000249937379,7.568940097913729,-0.7297864042144657,-0.21067118846207544,46.15384615384615
all,discovery,rule6_status,rule6_crash_veto_status,pass,t1_net,10,180,169,-0.6262722424192331,-0.732022880915235,9.92068551971732,-0.6824386258906356,-0.1970030621816784,47.337278106508876
all,discovery,rule6_status,rule6_crash_veto_status,pass,t1_net,20,180,169,0.8493090823299758,-1.7600000000000013,13.020728231879765,0.09041786658511168,0.02610138980623295,42.01183431952663
all,discovery,rule6_status,rule6_good_data_bad_reaction_status,pending_data,t1_net,5,180,169,-0.4674246196823449,-0.5599000249937379,7.568940097913729,-0.7297864042144657,-0.21067118846207544,46.15384615384615
all,discovery,rule6_status,rule6_good_data_bad_reaction_status,pending_data,t1_net,10,180,169,-0.6262722424192331,-0.732022880915235,9.92068551971732,-0.6824386258906356,-0.1970030621816784,47.337278106508876
all,discovery,rule6_status,rule6_good_data_bad_reaction_status,pending_data,t1_net,20,180,169,0.8493090823299758,-1.7600000000000013,13.020728231879765,0.09041786658511168,0.02610138980623295,42.01183431952663
all,discovery,rule6_status,rule6_holder_below_5pct_status,pending_data,t1_net,5,180,169,-0.4674246196823449,-0.5599000249937379,7.568940097913729,-0.7297864042144657,-0.21067118846207544,46.15384615384615
all,discovery,rule6_status,rule6_holder_below_5pct_status,pending_data,t1_net,10,180,169,-0.6262722424192331,-0.732022880915235,9.92068551971732,-0.6824386258906356,-0.1970030621816784,47.337278106508876
all,discovery,rule6_status,rule6_holder_below_5pct_status,pending_data,t1_net,20,180,169,0.8493090823299758,-1.7600000000000013,13.020728231879765,0.09041786658511168,0.02610138980623295,42.01183431952663
all,discovery,rule6_status,rule6_holder_reduction_status,pass,t1_net,5,180,169,-0.4674246196823449,-0.5599000249937379,7.568940097913729,-0.7297864042144657,-0.21067118846207544,46.15384615384615
