ts_code,symbol,name,list_date,delist_date,market,list_status,avg_amount_20d,pct_20d,l2_name,l1_name,l2_code,l1_code,close,pe,pe_ttm,pb,turnover_rate,total_mv,circ_mv,avg_amount_5d,vol_confirm,limit_20d,limit_10d,is_lock,is_breakout,high_20d,low_20d,pct_5d,pct_60d,drawdown_20d,has_crash_veto,pct_20d_n,market_med_20d,q0_dt_yoy,q1_dt_yoy,q0_profit_dedt,q0_dt_profit_ratio,q0_net_income,ttm_net_income,ttm_profit_dedt,ttm_ocf_ratio,roe,reduce_deduct,total_mv_n,avg_amt_5d_n,l1_leader,l1_score,l1_flag,itf_adj,l2_pe_mkt_pct,q0_dt_yoy_n,q1_dt_yoy_n,ind_med,esp_raw,l2_flags,pe_n,pb_n,roe_n,peg_n,pe_mean,val_bonus,val_penalty,close_n,high_20d_n,vol_shrink,reduce_penalty,cat_score,cat_flag,mom_rank,l4_mom_ok,l4_rel_ok,l4_score,ind_mom_cnt,alpha_excess,alpha_flag,pct_5d_n,l4_flag,big_ratio,chasing_high,overheat_flag,z_group,esp_raw_w,low_base_growth_flag,esp_z,esp_score,egs_base,mult,deduct,final_score,tier,downgrade_reasons,score_penalty_reasons,entry_flag,cninfo_flag,run_date
600011.SH,600011,华能国际,20011206,,主板,L,647829280.05,14.025245441795242,电力,公用事业,801161.SI,410000,8.13,12.5919,8.7634,1.909,0.8953,12762549.9009,8941138.1641,965683307.8,True,0,0,False,False,8.49,7.0,4.9032258064516165,11.52263374485598,-4.240282685512364,False,14.025245441795242,2.4783489957619365,22.64,9.61,8805546415.0,95.0729,,,34166422930.0,211.0374,6.6283,0,12762549.9009,965683307.8,1.0,1.5,PASS,False,0.23529411764705882,22.64,9.61,1.6,22.64,,12.5919,1.909,6.6283,0.5561793286219081,23.63133695652174,10.0,0.0,8.13,8.49,False,0,50.0,,0.8125,1,1,100.0,15,9.481754036422519,True,4.9032258064516165,,-0.010592923872880768,False,False,电力,22.64,False,0.1051997472937395,50.0,75.0,1.0,0.0,85.0,Tier1,,,可直接观察,回测跳过,20251031
002284.SZ,002284,亚太股份,20090828,,主板,L,355270896.8999999,8.575803981623276,汽车零部件,汽车,801093.SI,280000,14.18,49.2197,27.2711,3.2754,3.6795,1048044.2935,1036861.6973,384345095.8000001,True,0,0,False,False,14.43,12.05,1.6487455197132572,30.091743119266056,-1.7325017325017344,False,8.575803981623276,2.4783489957619365,98.22,85.5,182577809.5,91.0155,,,611835735.5799999,184.4319,6.7101,0,1048044.2935,384345095.8000001,1.0,1.5,PASS,False,0.6470588235294118,98.22,85.5,8.45,98.22,,49.2197,3.2754,6.7101,0.5011168804724089,113.08320806451613,0.0,0.0,14.18,14.43,False,0,50.0,,0.8870967741935484,1,1,100.0,19,10.38085430504868,True,1.6487455197132572,,0.011545249308499062,False,False,汽车零部件,98.22,False,1.2705299980359839,68.0,78.6,1.0,0.0,78.6,Tier1,,,可直接观察,回测跳过,20251031
002138.SZ,002138,顺络电子,20070613,,主板,L,1320114880.5500002,8.432708688245306,元件,电子,801083.SI,270000,38.19,37.0074,31.5154,4.7298,4.1622,3079329.7939,2889106.4274,1792331211.6000001,True,0,0,False,False,43.67,33.01,-9.071428571428575,33.859095688748674,-12.548660407602485,False,8.432708688245306,2.4783489957619365,32.87,39.76,462311088.94,95.1493,,,2059619033.4099998,122.8138,7.7953,0,3079329.7939,1792331211.6000001,1.0,1.5,PASS,False,0.8235294117647058,32.87,39.76,22.51,10.359999999999996,,37.0074,4.7298,7.7953,1.125871615454822,81.13042,0.0,0.0,38.19,43.67,False,0,50.0,,0.7647058823529411,1,1,100.0,6,9.517850591417266,True,-9.071428571428575,,-0.014516133909668806,False,False,元件,10.359999999999996,False,-0.3319449650099716,32.0,71.4,1.0,0.0,71.4,Tier1,,,可直接观察,回测跳过,20251031
600338.SH,600338,西藏珠峰,20001227,,主板,L,850107553.4,14.999999999999991,工业金属,有色金属,801055.SI,240000,14.26,56.7779,29.1698,2.9919,9.8914,1303663.6996,1303663.6996,1058702492.6,True,0,0,False,False,14.77,12.38,6.101190476190488,22.40343347639484,-3.452945159106291,False,14.999999999999991,2.4783489957619365,136.38,613.0594,301537099.33,100.237,,,902681604.15,68.9774,7.695,0,1303663.6996,1058702492.6,1.0,1.5,PASS,False,0.4117647058823529,136.38,613.0594,6.99,136.38,,56.7779,2.9919,7.695,0.41632130810969353,63.38182368421052,0.0,0.0,14.26,14.77,False,0,50.0,,0.5853658536585366,0,1,55.0,13,3.686131386861291,False,6.101190476190488,,-0.0038882878229558222,False,False,工业金属,136.38,False,1.2041735737332009,68.0,56.1,1.0,0.0,56.1,Tier1,,,可直接观察,回测跳过,20251031
600111.SH,600111,北方稀土,19970924,,主板,L,11080013587.650002,9.527915499029959,稀有金属,有色金属,801054.SI,240000,50.81,182.8992,85.8209,7.6902,4.1769,18368149.5432,18368149.5432,10134267848.6,True,2,0,False,False,61.69,45.78,-4.689551678859505,41.1388888888889,-17.636569946506718,False,9.527915499029959,2.4783489957619365,5644.93,11622.98,896638713.02,96.2768,,,2498715629.35,60.1644,4.0761,0,18368149.5432,10134267848.6,1.0,1.5,PASS,False,0.8823529411764706,5644.93,11622.98,15.5897,5644.93,,182.8992,7.6902,4.0761,0.03240061435659964,80.1273625,0.0,0.0,50.81,61.69,False,0,50.0,,0.6666666666666666,0,1,55.0,6,4.921325469437431,False,-4.689551678859505,,-0.0060382142021618524,False,False,稀有金属,200.0,True,1.4547731340729666,68.0,56.1,1.0,0.0,56.1,Tier1,,esp_raw_cap_200,可直接观察,回测跳过,20251031
603917.SH,603917,合力科技,20171204,,主板,L,285127417.65000004,13.721264367816088,汽车零部件,汽车,801093.SI,280000,15.83,,318.7199,1.9213,12.2241,322678.72,322678.72,304848175.2,True,1,0,False,False,16.3,13.1,4.076265614727137,19.833459500378492,-2.8834355828220914,False,13.721264367816088,2.4783489957619365,144.8441,,1608004.27,16.3262,,,-33135825.73,195.9476,0.5882,0,322678.72,304848175.2,1.0,1.5,PASS,False,0.6470588235294118,144.8441,,8.45,144.8441,ESP-Q,,1.9213,0.5882,,113.08320806451613,0.0,0.0,15.83,16.3,False,0,50.0,,0.9354838709677419,1,1,100.0,19,15.526314691241494,True,4.076265614727137,,-0.005233982886233688,False,False,汽车零部件,144.8441,False,1.843549970571105,68.0,78.6,0.7,0.0,55.02,Tier1,,,可直接观察,回测跳过,20251031
002842.SZ,002842,翔鹭钨业,20170119,,主板,L,238373022.00000003,13.256484149855897,稀有金属,有色金属,801054.SI,240000,11.79,,,3.4535,12.1773,385736.2855,316517.2981,424288982.0,True,0,0,False,False,12.78,10.11,6.600361663652787,31.584821428571395,-7.746478873239438,False,13.256484149855897,2.4783489957619365,123.39,118.39,9470074.49,51.5138,,,-171083968.72000003,-222.8611,1.991,0,385736.2855,424288982.0,1.0,1.5,PASS,False,0.8823529411764706,123.39,118.39,15.5897,123.38999999999999,ESP-Q,,3.4535,1.991,,80.1273625,0.0,0.0,11.79,12.78,False,0,50.0,,0.7222222222222222,1,1,100.0,6,8.649894120263369,True,6.600361663652787,,-0.007311573697321735,False,False,稀有金属,123.38999999999999,False,0.7231998540802529,50.0,75.0,0.7,0.0,52.5,Tier1,,,可直接观察,回测跳过,20251031
600803.SH,600803,新奥股份,19940103,,主板,L,176018556.00000003,7.548209366391201,燃气,公用事业,801163.SI,410000,19.52,13.4549,13.6533,2.6086,0.5795,6045515.0089,6005069.5357,274837840.2,True,0,0,False,False,19.6,17.92,5.971769815418004,5.285868392664517,-0.40816326530612734,False,7.548209366391201,2.4783489957619365,21.13,9.89,2414090000.0,100.2679,,,10059030000.0,93.1971,10.3346,0,6045515.0089,274837840.2,1.0,1.5,PASS,False,0.17647058823529413,21.13,9.89,1.375,21.13,,13.4549,2.6086,10.3346,0.636767628963559,40.52824,0.0,0.0,19.52,19.6,False,0,50.0,,0.6153846153846154,0,1,55.0,4,2.9810655354436832,False,5.971769815418004,,0.013737845288127335,False,False,燃气,21.13,False,0.2785934607468345,50.0,52.5,1.0,0.0,52.5,Tier1,,,可直接观察,回测跳过,20251031
002448.SZ,002448,中原内配,20100716,,主板,L,305911603.25,2.582368655387346,汽车零部件,汽车,801093.SI,280000,11.52,33.243,22.8347,1.8183,4.9688,677847.9122,524779.0952,347188642.8,True,0,0,False,False,12.25,10.03,0.6113537117903967,32.87197231833909,-5.959183673469393,False,2.582368655387346,2.4783489957619365,44.28,35.61,229188375.1,98.1072,,,733165025.38,29.5862,6.5623,0,677847.9122,347188642.8,1.0,1.5,PASS,False,0.6470588235294118,44.28,35.61,8.45,44.28,,33.243,1.8183,6.5623,0.7507452574525746,113.08320806451613,0.0,0.0,11.52,12.25,False,0,50.0,,0.7741935483870968,1,0,55.0,19,4.387418978812752,False,0.6113537117903967,,-0.00331569018745285,False,False,汽车零部件,44.28,False,0.6075960793427665,50.0,52.5,1.0,0.0,52.5,Tier1,,,可直接观察,回测跳过,20251031
601600.SH,601600,中国铝业,20070430,,主板,L,3557257070.7500005,31.10236220472442,工业金属,有色金属,801055.SI,240000,9.99,13.8212,12.0224,2.4038,3.2268,17138476.4459,13152456.7966,4568139403.2,True,0,0,False,False,10.5,7.53,6.276595744680846,35.18267929634642,-4.857142857142859,False,31.10236220472442,2.4783489957619365,1.27,,6941201000.0,98.1677,,,27636403000.0,107.5812,9.9704,0,17138476.4459,4568139403.2,1.0,1.5,PASS,False,0.4117647058823529,1.27,,6.99,-5.720000000000001,,13.8212,2.4038,9.9704,10.882834645669291,63.38182368421052,10.0,0.0,9.99,10.5,False,0,50.0,,0.8780487804878049,1,1,100.0,13,19.78849359158572,True,6.276595744680846,,-0.0012731551139167656,True,False,工业金属,-5.720000000000001,False,0.015239965307365358,50.0,75.0,1.0,0.0,85.0,Tier2,chasing_high|esp_raw_non_positive,,追高风险，周一确认,未检查,20251031
